HourNum	Date	O3Level	
656	20000128	0.016	
657	20000128	0.023	
658	20000128	0.028	
659	20000128	0.021	
660	20000128	0.013	
661	20000128	0.005	
662	20000128	0.003	
663	20000128	0.002	
664	20000128	0.003	
665	20000128	0.003	
666	20000128	0.003	
667	20000128	0.003	
668	20000128	0.003	
669	20000129	0.003	
670	20000129	0.002	
671	20000129	0.002	
672	20000129	0.003	
673	20000129	0.008	
674	20000129	0.004	
675	20000129	0.003	
676	20000129	0.005	
677	20000129	0.01	
678	20000129	0.016	
679	20000129	0.019	
680	20000129	0.022	
681	20000129	0.02	
682	20000129	0.023	
683	20000129	0.021	
684	20000129	0.019	
685	20000129	0.015	
686	20000129	0.021	
687	20000129	0.025	
688	20000129	0.019	
689	20000129	0.017	
690	20000129	0.013	
691	20000129	0.012	
692	20000129	0.008	
693	20000130	0.005	
694	20000130	0.006	
695	20000130	0.007	
696	20000130	0.004	
697	20000130	0.005	
698	20000130	0.004	
699	20000130	0.004	
700	20000130	0.008	
701	20000130	0.012	
702	20000130	0.015	
703	20000130	0.016	
704	20000130	0.019	
705	20000130	0.022	
706	20000130	0.023	
707	20000130	0.023	
708	20000130	0.02	
709	20000130	0.014	
710	20000130	0.009	
711	20000130	0.004	
712	20000130	0.004	
713	20000130	0.003	
714	20000130	0.012	
715	20000130	0.014	
716	20000130	0.017	
717	20000131	0.022	
718	20000131	0.022	
719	20000131	0.021	
720	20000131	0.015	
721	20000131	0.009	
722	20000131	0.008	
723	20000131	0.005	
724	20000131	0.006	
725	20000131	0.012	
726	20000131	0.021	
727	20000131	0.025	
728	20000131	0.03	
729	20000131	0.032	
730	20000131	0.033	
731	20000131	0.033	
732	20000131	0.029	
733	20000131	0.022	
734	20000131	0.016	
735	20000131	0.022	
736	20000131	0.022	
737	20000131	0.013	
738	20000131	0.016	
739	20000131	0.016	
740	20000131	0.015	
741	20000201	0.011	
742	20000201	0.007	
743	20000201	0.006	
744	20000201	0.004	
745	20000201	0.008	
746	20000201	0.006	
747	20000201	0.003	
748	20000201	0.004	
749	20000201	0.006	
750	20000201	0.012	
751	20000201	0.021	
752	20000201	0.023	
753	20000201	0.021	
754	20000201	0.03	
755	20000201	0.028	
756	20000201	0.03	
757	20000201	0.024	
758	20000201	0.018	
759	20000201	0.012	
760	20000201	0.007	
761	20000201	0.003	
762	20000201	0.003	
763	20000201	0.003	
764	20000201	0.003	
765	20000202	0.003	
766	20000202	0.002	
767	20000202	0.002	
768	20000202	0.002	
769	20000202	0.002	
770	20000202	0.002	
771	20000202	0.003	
772	20000202	0.004	
773	20000202	0.007	
774	20000202	0.01	
775	20000202	0.021	
776	20000202	0.025	
777	20000202	0.024	
778	20000202	0.026	
779	20000202	0.028	
