HourNum	Date	O3Level
638	20000127	0.003
639	20000127	0.003
640	20000128	0.003
641	20000128	0.003
642	20000128	0.003
643	20000128	0.003
644	20000128	0.003
645	20000128	0.003
646	20000128	0.003
647	20000128	0.004
648	20000128	0.005
649	20000128	0.011
650	20000128	0.014
651	20000128	0.016
652	20000128	0.023
653	20000128	0.028
654	20000128	0.021
655	20000128	0.013
656	20000128	0.005
657	20000128	0.003
658	20000128	0.002
659	20000128	0.003
660	20000128	0.003
661	20000128	0.003
662	20000128	0.003
663	20000128	0.003
664	20000129	0.003
665	20000129	0.002
666	20000129	0.002
667	20000129	0.003
668	20000129	0.008
669	20000129	0.004
670	20000129	0.003
671	20000129	0.005
672	20000129	0.01
673	20000129	0.016
674	20000129	0.019
675	20000129	0.022
676	20000129	0.02
677	20000129	0.023
678	20000129	0.021
679	20000129	0.019
680	20000129	0.015
681	20000129	0.021
682	20000129	0.025
683	20000129	0.019
684	20000129	0.017
685	20000129	0.013
686	20000129	0.012
687	20000129	0.008
688	20000130	0.005
689	20000130	0.006
690	20000130	0.007
691	20000130	0.004
692	20000130	0.005
693	20000130	0.004
694	20000130	0.004
695	20000130	0.008
696	20000130	0.012
697	20000130	0.015
698	20000130	0.016
699	20000130	0.019
700	20000130	0.022
701	20000130	0.023
702	20000130	0.023
703	20000130	0.02
704	20000130	0.014
705	20000130	0.009
706	20000130	0.004
707	20000130	0.004
708	20000130	0.003
709	20000130	0.012
710	20000130	0.014
711	20000130	0.017
712	20000131	0.022
713	20000131	0.022
714	20000131	0.021
715	20000131	0.015
716	20000131	0.009
717	20000131	0.008
718	20000131	0.005
719	20000131	0.006
720	20000131	0.012
721	20000131	0.021
722	20000131	0.025
723	20000131	0.03
724	20000131	0.032
725	20000131	0.033
726	20000131	0.033
727	20000131	0.029
728	20000131	0.022
729	20000131	0.016
730	20000131	0.022
731	20000131	0.022
732	20000131	0.013
733	20000131	0.016
734	20000131	0.016
735	20000131	0.015
736	20000201	0.011
737	20000201	0.007
738	20000201	0.006
739	20000201	0.004
740	20000201	0.008
741	20000201	0.006
742	20000201	0.003
743	20000201	0.004
744	20000201	0.006
745	20000201	0.012
746	20000201	0.021
747	20000201	0.023
748	20000201	0.021
749	20000201	0.03
750	20000201	0.028
751	20000201	0.03
752	20000201	0.024
753	20000201	0.018
754	20000201	0.012
755	20000201	0.007
756	20000201	0.003
757	20000201	0.003
758	20000201	0.003
759	20000201	0.003
760	20000202	0.003
761	20000202	0.002
762	20000202	0.002
763	20000202	0.002
764	20000202	0.002
765	20000202	0.002
766	20000202	0.003
767	20000202	0.004
768	20000202	0.007
769	20000202	0.01
770	20000202	0.021
771	20000202	0.025
